country,sectorName,year,pollutantName,value,unit
Germany,NATIONAL TOTAL FOR COMPLIANCE,1990,NOx,45.4881,Gg (1000 tonnes)
Germany,NATIONAL TOTAL FOR COMPLIANCE,1990,NOx,10.439,Gg (1000 tonnes)
Germany,NATIONAL TOTAL FOR COMPLIANCE,1990,NOx,90.2872,Gg (1000 tonnes)
Germany,NATIONAL TOTAL FOR COMPLIANCE,1990,NOx,64.2882,Gg (1000 tonnes)
Germany,NATIONAL TOTAL FOR COMPLIANCE,1990,NOx,0.35,Gg (1000 tonnes)
Germany,NATIONAL TOTAL FOR COMPLIANCE,1990,NOx,0.0671528,Gg (1000 tonnes)
Germany,NATIONAL TOTAL FOR COMPLIANCE,1990,NOx,37.5793,Gg (1000 tonnes)
Germany,NATIONAL TOTAL FOR COMPLIANCE,1990,NOx,9.50491,Gg (1000 tonnes)
Germany,NATIONAL TOTAL FOR COMPLIANCE,1990,NOx,0.310201,Gg (1000 tonnes)
Germany,NATIONAL TOTAL FOR COMPLIANCE,1990,NOx,45.9399,Gg (1000 tonnes)
Germany,NATIONAL TOTAL FOR COMPLIANCE,1990,NOx,7.87741e-05,Gg (1000 tonnes)
Germany,NATIONAL TOTAL FOR COMPLIANCE,1990,SOx,0.174471,Gg (1000 tonnes)
Germany,NATIONAL TOTAL FOR COMPLIANCE,1990,SOx,0.0219985,Gg (1000 tonnes)
Germany,NATIONAL TOTAL FOR COMPLIANCE,1990,SOx,8.88973,Gg (1000 tonnes)
Germany,NATIONAL TOTAL FOR COMPLIANCE,1990,SOx,2.58,Gg (1000 tonnes)
Germany,NATIONAL TOTAL FOR COMPLIANCE,1990,SOx,0.0191329,Gg (1000 tonnes)
Germany,NATIONAL TOTAL FOR COMPLIANCE,1990,NOx,107.23,Gg (1000 tonnes)
Germany,NATIONAL TOTAL FOR COMPLIANCE,1990,NOx,2.63684,Gg (1000 tonnes)
Germany,NATIONAL TOTAL FOR COMPLIANCE,1990,NOx,2.59655,Gg (1000 tonnes)
Germany,NATIONAL TOTAL FOR COMPLIANCE,1990,NOx,139.186,Gg (1000 tonnes)
Germany,NATIONAL TOTAL FOR COMPLIANCE,1990,NOx,47.3609,Gg (1000 tonnes)
Germany,NATIONAL TOTAL FOR COMPLIANCE,1990,NOx,0.38163,Gg (1000 tonnes)
Germany,NATIONAL TOTAL FOR COMPLIANCE,1990,NOx,464.365,Gg (1000 tonnes)
Germany,NATIONAL TOTAL FOR COMPLIANCE,1990,NOx,11.3009,Gg (1000 tonnes)
Germany,NATIONAL TOTAL FOR COMPLIANCE,1990,NOx,0.740251,Gg (1000 tonnes)
Germany,NATIONAL TOTAL FOR COMPLIANCE,1990,NOx,5.48938,Gg (1000 tonnes)
Germany,NATIONAL TOTAL FOR COMPLIANCE,1990,NOx,1.08094,Gg (1000 tonnes)
Germany,NATIONAL TOTAL FOR COMPLIANCE,1990,NOx,0.0907878,Gg (1000 tonnes)
Germany,NATIONAL TOTAL FOR COMPLIANCE,1990,NOx,0.428476,Gg (1000 tonnes)
Germany,NATIONAL TOTAL FOR COMPLIANCE,1990,NOx,8.84265,Gg (1000 tonnes)
Germany,NATIONAL TOTAL FOR COMPLIANCE,1990,NOx,47.3919,Gg (1000 tonnes)
Germany,NATIONAL TOTAL FOR COMPLIANCE,1990,NOx,0.0400321,Gg (1000 tonnes)
Germany,NATIONAL TOTAL FOR COMPLIANCE,1990,NOx,36.8372,Gg (1000 tonnes)
Germany,NATIONAL TOTAL FOR COMPLIANCE,1990,NOx,3.5962,Gg (1000 tonnes)
Germany,NATIONAL TOTAL FOR COMPLIANCE,1990,NOx,32.8169,Gg (1000 tonnes)
Germany,NATIONAL TOTAL FOR COMPLIANCE,1990,NOx,0.231757,Gg (1000 tonnes)
Germany,NATIONAL TOTAL FOR COMPLIANCE,1990,NOx,0.225516,Gg (1000 tonnes)
Germany,NATIONAL TOTAL FOR COMPLIANCE,1990,NOx,1.21825,Gg (1000 tonnes)
Germany,NATIONAL TOTAL FOR COMPLIANCE,1990,NOx,6.11248,Gg (1000 tonnes)
Germany,NATIONAL TOTAL FOR COMPLIANCE,1990,NOx,2.70466,Gg (1000 tonnes)
Germany,NATIONAL TOTAL FOR COMPLIANCE,1990,NOx,0.595324,Gg (1000 tonnes)
Germany,NATIONAL TOTAL FOR COMPLIANCE,1990,NOx,41.1736,Gg (1000 tonnes)
Germany,NATIONAL TOTAL FOR COMPLIANCE,1990,NOx,7.60404,Gg (1000 tonnes)
Germany,NATIONAL TOTAL FOR COMPLIANCE,1990,NOx,0.75,Gg (1000 tonnes)
Germany,NATIONAL TOTAL FOR COMPLIANCE,1990,NOx,2.21,Gg (1000 tonnes)
Germany,NATIONAL TOTAL FOR COMPLIANCE,1990,NOx,0.03682,Gg (1000 tonnes)
Germany,NATIONAL TOTAL FOR COMPLIANCE,1990,NOx,0.360377,Gg (1000 tonnes)
Germany,NATIONAL TOTAL FOR COMPLIANCE,1990,NOx,0.00228047,Gg (1000 tonnes)
Germany,NATIONAL TOTAL FOR COMPLIANCE,1990,NOx,0.842685,Gg (1000 tonnes)
Germany,NATIONAL TOTAL FOR COMPLIANCE,1990,NOx,0.00342668,Gg (1000 tonnes)
Germany,NATIONAL TOTAL FOR COMPLIANCE,1990,NOx,0.0076906,Gg (1000 tonnes)
Germany,NATIONAL TOTAL FOR COMPLIANCE,1990,NOx,0.0142349,Gg (1000 tonnes)
Germany,NATIONAL TOTAL FOR COMPLIANCE,1990,NOx,0.00559719,Gg (1000 tonnes)
Germany,NATIONAL TOTAL FOR COMPLIANCE,1990,NOx,0.00282119,Gg (1000 tonnes)
Germany,NATIONAL TOTAL FOR COMPLIANCE,1990,NOx,482.148,Gg (1000 tonnes)
Germany,NATIONAL TOTAL FOR COMPLIANCE,1990,NOx,50.315,Gg (1000 tonnes)
Germany,NATIONAL TOTAL FOR COMPLIANCE,1990,NOx,2.21315,Gg (1000 tonnes)
Germany,NATIONAL TOTAL FOR COMPLIANCE,1990,NOx,3.98705,Gg (1000 tonnes)
Germany,NATIONAL TOTAL FOR COMPLIANCE,1990,NOx,201.214,Gg (1000 tonnes)
Germany,NATIONAL TOTAL FOR COMPLIANCE,1990,NOx,3.65948,Gg (1000 tonnes)
Germany,NATIONAL TOTAL FOR COMPLIANCE,1990,NOx,7.08305,Gg (1000 tonnes)
Germany,NATIONAL TOTAL FOR COMPLIANCE,1990,NOx,53.2464,Gg (1000 tonnes)
Germany,NATIONAL TOTAL FOR COMPLIANCE,1990,NOx,0.0814518,Gg (1000 tonnes)
Germany,NATIONAL TOTAL FOR COMPLIANCE,1990,NOx,0.238043,Gg (1000 tonnes)
Germany,NATIONAL TOTAL FOR COMPLIANCE,1990,NOx,30.8982,Gg (1000 tonnes)
Germany,NATIONAL TOTAL FOR COMPLIANCE,1990,NOx,0.892061,Gg (1000 tonnes)
Germany,NATIONAL TOTAL FOR COMPLIANCE,1990,NOx,86.5346,Gg (1000 tonnes)
Germany,NATIONAL TOTAL FOR COMPLIANCE,1990,NOx,4.6049,Gg (1000 tonnes)
Germany,NATIONAL TOTAL FOR COMPLIANCE,1990,NOx,0.139687,Gg (1000 tonnes)
Germany,NATIONAL TOTAL FOR COMPLIANCE,1990,SOx,538.698,Gg (1000 tonnes)
Germany,NATIONAL TOTAL FOR COMPLIANCE,1990,SOx,11.1155,Gg (1000 tonnes)
Germany,NATIONAL TOTAL FOR COMPLIANCE,1990,SOx,2.6625,Gg (1000 tonnes)
Germany,NATIONAL TOTAL FOR COMPLIANCE,1990,SOx,2.97942,Gg (1000 tonnes)
Germany,NATIONAL TOTAL FOR COMPLIANCE,1990,SOx,34.1977,Gg (1000 tonnes)
Germany,NATIONAL TOTAL FOR COMPLIANCE,1990,SOx,34.7746,Gg (1000 tonnes)
Germany,NATIONAL TOTAL FOR COMPLIANCE,1990,SOx,607.8,Gg (1000 tonnes)
Germany,NATIONAL TOTAL FOR COMPLIANCE,1990,SOx,65.8244,Gg (1000 tonnes)
Germany,NATIONAL TOTAL FOR COMPLIANCE,1990,SOx,5.17992,Gg (1000 tonnes)
Germany,NATIONAL TOTAL FOR COMPLIANCE,1990,SOx,0.00504,Gg (1000 tonnes)
Germany,NATIONAL TOTAL FOR COMPLIANCE,1990,SOx,4.81163,Gg (1000 tonnes)
Germany,NATIONAL TOTAL FOR COMPLIANCE,1990,SOx,0.5049,Gg (1000 tonnes)
Germany,NATIONAL TOTAL FOR COMPLIANCE,1990,SOx,2.9376,Gg (1000 tonnes)
Germany,NATIONAL TOTAL FOR COMPLIANCE,1990,SOx,25.0194,Gg (1000 tonnes)
Germany,NATIONAL TOTAL FOR COMPLIANCE,1990,SOx,161.494,Gg (1000 tonnes)
Germany,NATIONAL TOTAL FOR COMPLIANCE,1990,SOx,0.228276,Gg (1000 tonnes)
Germany,NATIONAL TOTAL FOR COMPLIANCE,1990,SOx,17.4048,Gg (1000 tonnes)
Germany,NATIONAL TOTAL FOR COMPLIANCE,1990,SOx,832.303,Gg (1000 tonnes)
Germany,NATIONAL TOTAL FOR COMPLIANCE,1990,SOx,0.0541238,Gg (1000 tonnes)
Germany,NATIONAL TOTAL FOR COMPLIANCE,1990,SOx,0.00272286,Gg (1000 tonnes)
Germany,NATIONAL TOTAL FOR COMPLIANCE,1990,SOx,360.292,Gg (1000 tonnes)
Germany,NATIONAL TOTAL FOR COMPLIANCE,1990,SOx,13.518,Gg (1000 tonnes)
Germany,NATIONAL TOTAL FOR COMPLIANCE,1990,SOx,0.534238,Gg (1000 tonnes)
Germany,NATIONAL TOTAL FOR COMPLIANCE,1990,SOx,5.7577,Gg (1000 tonnes)
Germany,NATIONAL TOTAL FOR COMPLIANCE,1990,SOx,53.9285,Gg (1000 tonnes)
Germany,NATIONAL TOTAL FOR COMPLIANCE,1990,SOx,9.47861,Gg (1000 tonnes)
Germany,NATIONAL TOTAL FOR COMPLIANCE,1990,SOx,0.015696,Gg (1000 tonnes)
Germany,NATIONAL TOTAL FOR COMPLIANCE,1990,SOx,1.48674,Gg (1000 tonnes)
Germany,NATIONAL TOTAL FOR COMPLIANCE,1990,SOx,2435.31,Gg (1000 tonnes)
Germany,NATIONAL TOTAL FOR COMPLIANCE,1990,SOx,13.2513,Gg (1000 tonnes)
Germany,NATIONAL TOTAL FOR COMPLIANCE,1990,SOx,0.243199,Gg (1000 tonnes)
Germany,NATIONAL TOTAL FOR COMPLIANCE,1990,SOx,0.406776,Gg (1000 tonnes)
Germany,NATIONAL TOTAL FOR COMPLIANCE,1990,SOx,8.26854,Gg (1000 tonnes)
Germany,NATIONAL TOTAL FOR COMPLIANCE,1990,SOx,38.1868,Gg (1000 tonnes)
Germany,NATIONAL TOTAL FOR COMPLIANCE,1990,SOx,0.0129418,Gg (1000 tonnes)
Germany,NATIONAL TOTAL FOR COMPLIANCE,1990,SOx,0.71545,Gg (1000 tonnes)
Germany,NATIONAL TOTAL FOR COMPLIANCE,1990,SOx,0.0545687,Gg (1000 tonnes)
Germany,NATIONAL TOTAL FOR COMPLIANCE,1990,SOx,33.5475,Gg (1000 tonnes)
Germany,NATIONAL TOTAL FOR COMPLIANCE,1990,SOx,39.5263,Gg (1000 tonnes)
Germany,NATIONAL TOTAL FOR COMPLIANCE,1990,SOx,6.86326,Gg (1000 tonnes)
Germany,NATIONAL TOTAL FOR COMPLIANCE,1990,SOx,2.97985,Gg (1000 tonnes)
Germany,NATIONAL TOTAL FOR COMPLIANCE,1990,SOx,107.63,Gg (1000 tonnes)
Germany,NATIONAL TOTAL FOR COMPLIANCE,1990,SOx,10.873,Gg (1000 tonnes)
Germany,NATIONAL TOTAL FOR COMPLIANCE,1990,SOx,51.9042,Gg (1000 tonnes)
Germany,NATIONAL TOTAL FOR COMPLIANCE,1990,SOx,0.185788,Gg (1000 tonnes)
Germany,NATIONAL TOTAL FOR COMPLIANCE,1990,SOx,3.4701,Gg (1000 tonnes)
Germany,NATIONAL TOTAL FOR COMPLIANCE,1990,SOx,12.2572,Gg (1000 tonnes)
Germany,NATIONAL TOTAL FOR COMPLIANCE,1990,SOx,1.5,Gg (1000 tonnes)
Germany,National navigation (shipping),1990,NOx,53.2464,kt
Germany,National navigation (shipping),1990,SOx,10.873,kt
Germany,Nickel production,1990,SOx,0.015696,kt
Germany,Nitric acid production,1990,NOx,11.3009,kt
Germany,Open burning of waste,1990,NOx,0.595324,kt
Germany,Open burning of waste,1990,SOx,0.0129418,kt
Germany,Other metal production (please specify in the IIR),1990,SOx,25.0194,kt
Germany,Other mineral products (please specify in the IIR),1990,SOx,17.4048,kt
Germany,Other natural emissions (please specify in the IIR),1990,NOx,1.21825,kt
Germany,Other organic fertilisers applied to soils (including compost),1990,NOx,0.428476,kt
Germany,Other product use (please specify in the IIR),1990,SOx,0.0545687,kt
Germany,Other product use (please specify in the IIR),1990,NOx,0.310201,kt
Germany,Other stationary (including military),1990,NOx,5.48938,kt
Germany,Other stationary (including military),1990,SOx,65.8244,kt
Germany,"Other, Mobile (including military, land based and recreational boats)",1990,SOx,3.4701,kt
Germany,"Other, Mobile (including military, land based and recreational boats)",1990,NOx,41.1736,kt
Germany,Petroleum refining,1990,NOx,36.8372,kt
Germany,Petroleum refining,1990,SOx,161.494,kt
Germany,Pipeline transport,1990,NOx,3.98705,kt
Germany,Pipeline transport,1990,SOx,0.00272286,kt
Germany,Public electricity and heat production,1990,NOx,464.365,kt
Germany,Public electricity and heat production,1990,SOx,2435.31,kt
Germany,Pulp and paper industry,1990,NOx,2.21,kt
Germany,Pulp and paper industry,1990,SOx,33.5475,kt
Germany,Railways,1990,NOx,45.4881,kt
Germany,Railways,1990,SOx,8.26854,kt
Germany,Residential: Household and gardening (mobile),1990,NOx,0.0814518,kt
Germany,Residential: Household and gardening (mobile),1990,SOx,0.0219985,kt
Germany,Residential: Stationary,1990,NOx,90.2872,kt
Germany,Residential: Stationary,1990,SOx,607.8,kt
Germany,Road paving with asphalt,1990,NOx,0.75,kt
Germany,Road paving with asphalt,1990,SOx,1.5,kt
Germany,Road transport: Heavy duty vehicles and buses,1990,NOx,482.148,kt
Germany,Road transport: Heavy duty vehicles and buses,1990,SOx,34.7746,kt
Germany,Road transport: Light duty vehicles,1990,NOx,32.8169,kt
Germany,Road transport: Light duty vehicles,1990,SOx,2.97985,kt
Germany,Road transport: Mopeds & motorcycles,1990,NOx,2.48532,kt
Germany,Road transport: Mopeds & motorcycles,1990,SOx,0.228276,kt
Germany,Road transport: Passenger cars,1990,NOx,795.978,kt
Germany,Road transport: Passenger cars,1990,SOx,34.1977,kt
Germany,Sewage sludge applied to soils,1990,NOx,1.08094,kt
Germany,"Stationary combustion in manufacturing industries and construction: Food processing, beverages and tobacco",1990,NOx,3.5962,kt
Germany,"Stationary combustion in manufacturing industries and construction: Food processing, beverages and tobacco",1990,SOx,13.2513,kt
Germany,Stationary combustion in manufacturing industries and construction: Iron and steel,1990,NOx,50.315,kt
Germany,Stationary combustion in manufacturing industries and construction: Iron and steel,1990,SOx,39.5263,kt
Germany,Stationary combustion in manufacturing industries and construction: Non-ferrous metals,1990,NOx,2.21315,kt
Germany,Stationary combustion in manufacturing industries and construction: Non-ferrous metals,1990,SOx,6.86326,kt
Germany,Stationary combustion in manufacturing industries and construction: Non-metallic minerals,1990,NOx,2.63684,kt
Germany,Stationary combustion in manufacturing industries and construction: Non-metallic minerals,1990,SOx,11.1155,kt
Germany,Stationary combustion in manufacturing industries and construction: Other (please specify in the IIR),1990,NOx,201.214,kt
Germany,Stationary combustion in manufacturing industries and construction: Other (please specify in the IIR),1990,SOx,832.303,kt
Germany,Titanium dioxide production,1990,NOx,0.03682,kt
Germany,Titanium dioxide production,1990,SOx,2.58,kt
Germany,Urine and dung deposited by grazing animals,1990,NOx,8.84265,kt
Germany,"Venting and flaring (oil, gas, combined oil and gas)",1990,NOx,7.60404,kt
Germany,"Venting and flaring (oil, gas, combined oil and gas)",1990,SOx,12.2572,kt
Germany,Zinc production,1990,SOx,0.5049,kt
Germany,Adipic acid production,1991,NOx,0.0965472,kt
Germany,Agriculture other (please specify in the IIR),1991,NOx,0.000189514,kt
Germany,Agriculture/Forestry/Fishing: National fishing,1991,NOx,0.333579,kt
Germany,Agriculture/Forestry/Fishing: National fishing,1991,SOx,0.162356,kt
Germany,Agriculture/Forestry/Fishing: Off-road vehicles and other machinery,1991,SOx,4.49632,kt
Germany,Agriculture/Forestry/Fishing: Off-road vehicles and other machinery,1991,NOx,66.2004,kt
Germany,Agriculture/Forestry/Fishing: Stationary,1991,NOx,4.28085,kt
Germany,Agriculture/Forestry/Fishing: Stationary,1991,SOx,14.589,kt
Germany,Aluminium production,1991,NOx,0.6903,kt
Germany,Aluminium production,1991,SOx,7.17912,kt
Germany,Ammonia production,1991,NOx,2.41095,kt
Germany,Animal manure applied to soils,1991,NOx,40.9946,kt
Germany,Cement production,1991,NOx,33.7566,kt
Germany,Cement production,1991,SOx,7.98542,kt
Germany,Chemical industry: Other (please specify in the IIR),1991,SOx,22.4717,kt
Germany,Commercial/Institutional: Mobile,1991,SOx,0.434581,kt
Germany,Commercial/Institutional: Mobile,1991,NOx,11.0801,kt
Germany,Commercial/Institutional: Stationary,1991,NOx,45.0279,kt
Germany,Commercial/Institutional: Stationary,1991,SOx,205.913,kt
Germany,Copper production,1991,SOx,3.4644,kt
Germany,Cremation,1991,NOx,0.155196,kt
Germany,Cremation,1991,SOx,0.0212571,kt
Germany,Domestic aviation LTO (civil),1991,NOx,2.69142,kt
Germany,Domestic aviation LTO (civil),1991,SOx,0.166377,kt
Germany,Domestic aviation cruise (civil),1991,NOx,7.46757,kt
Germany,Domestic aviation cruise (civil),1991,SOx,0.393319,kt
Germany,Forest fires,1991,NOx,0.129051,kt
Germany,Forest fires,1991,SOx,0.0309723,kt
Germany,Fugitive emission from solid fuels: Solid fuel transformation,1991,NOx,0.347133,kt
Germany,Fugitive emission from solid fuels: Solid fuel transformation,1991,SOx,2.35484,kt
Germany,"Fugitive emissions from natural gas (exploration, production, processing, transmission, storage, distribution and other)",1991,NOx,0.077044,kt
Germany,"Fugitive emissions from natural gas (exploration, production, processing, transmission, storage, distribution and other)",1991,SOx,0.00518,kt
Germany,Fugitive emissions oil: Refining and storage,1991,NOx,0.278979,kt
Germany,Fugitive emissions oil: Refining and storage,1991,SOx,5.08717,kt
Germany,Glass production,1991,NOx,29.8941,kt
Germany,Glass production,1991,SOx,15.0746,kt
Germany,Inorganic N-fertilizers (includes also urea application),1991,NOx,80.2042,kt
Germany,International aviation LTO (civil),1991,NOx,3.81233,kt
Germany,International aviation LTO (civil),1991,SOx,0.250384,kt
Germany,International aviation cruise (civil),1991,NOx,46.4112,kt
Germany,International aviation cruise (civil),1991,SOx,2.92062,kt
Germany,International maritime navigation,1991,NOx,117.165,kt
Germany,International maritime navigation,1991,SOx,90.715,kt
Germany,Iron and steel production,1991,NOx,4.37256,kt
Germany,Iron and steel production,1991,SOx,9.90953,kt
Germany,Lead production,1991,SOx,0.74415,kt
Germany,Lime production,1991,NOx,8.58622,kt
Germany,Lime production,1991,SOx,1.36447,kt
Germany,Manufacture of solid fuels and other energy industries,1991,NOx,91.1262,kt
Germany,Manufacture of solid fuels and other energy industries,1991,SOx,571.775,kt
Germany,Manure management - Broilers,1991,NOx,0.00558361,kt
Germany,Manure management - Dairy cattle,1991,NOx,0.787435,kt
Germany,Manure management - Goats,1991,NOx,0.00217911,kt
Germany,Manure management - Horses,1991,NOx,0.241273,kt
Germany,Manure management - Laying hens,1991,NOx,0.0130648,kt
Germany,Manure management - Non-dairy cattle,1991,NOx,0.719372,kt
Germany,Manure management - Other animals (please specify in the IIR),1991,NOx,0.00750225,kt
Germany,Manure management - Other poultry,1991,NOx,0.00260252,kt
Germany,Manure management - Sheep,1991,NOx,0.0385296,kt
Germany,Manure management - Swine,1991,NOx,0.330102,kt
Germany,Manure management - Turkeys,1991,NOx,0.00363299,kt
Germany,Mobile combustion in manufacturing industries and construction (please specify in the IIR),1991,NOx,33.7021,kt
Germany,Mobile combustion in manufacturing industries and construction (please specify in the IIR),1991,SOx,2.00601,kt
Germany,NATIONAL TOTAL FOR COMPLIANCE,1991,NOx,0.129051,Gg (1000 tonnes)
Germany,NATIONAL TOTAL FOR COMPLIANCE,1991,NOx,32.5957,Gg (1000 tonnes)
Germany,NATIONAL TOTAL FOR COMPLIANCE,1991,NOx,710.132,Gg (1000 tonnes)
Germany,NATIONAL TOTAL FOR COMPLIANCE,1991,NOx,6.29096,Gg (1000 tonnes)
Germany,NATIONAL TOTAL FOR COMPLIANCE,1991,NOx,0.330102,Gg (1000 tonnes)
Germany,NATIONAL TOTAL FOR COMPLIANCE,1991,NOx,0.548171,Gg (1000 tonnes)
Germany,NATIONAL TOTAL FOR COMPLIANCE,1991,NOx,0.000189514,Gg (1000 tonnes)
Germany,NATIONAL TOTAL FOR COMPLIANCE,1991,SOx,2.85662,Gg (1000 tonnes)
Germany,NATIONAL TOTAL FOR COMPLIANCE,1991,SOx,10.2093,Gg (1000 tonnes)
Germany,NATIONAL TOTAL FOR COMPLIANCE,1991,SOx,2.35,Gg (1000 tonnes)
Germany,NATIONAL TOTAL FOR COMPLIANCE,1991,SOx,0.5346,Gg (1000 tonnes)
Germany,NATIONAL TOTAL FOR COMPLIANCE,1991,SOx,3.4644,Gg (1000 tonnes)
Germany,NATIONAL TOTAL FOR COMPLIANCE,1991,NOx,1.53393,Gg (1000 tonnes)
Germany,NATIONAL TOTAL FOR COMPLIANCE,1991,NOx,3.81233,Gg (1000 tonnes)
Germany,NATIONAL TOTAL FOR COMPLIANCE,1991,NOx,4.41641,Gg (1000 tonnes)
Germany,NATIONAL TOTAL FOR COMPLIANCE,1991,NOx,0.077044,Gg (1000 tonnes)
Germany,NATIONAL TOTAL FOR COMPLIANCE,1991,NOx,8.58622,Gg (1000 tonnes)
Germany,NATIONAL TOTAL FOR COMPLIANCE,1991,NOx,46.4112,Gg (1000 tonnes)
Germany,NATIONAL TOTAL FOR COMPLIANCE,1991,NOx,0.034716,Gg (1000 tonnes)
Germany,NATIONAL TOTAL FOR COMPLIANCE,1991,NOx,2.66415,Gg (1000 tonnes)
Germany,NATIONAL TOTAL FOR COMPLIANCE,1991,NOx,0.8325,Gg (1000 tonnes)
Germany,NATIONAL TOTAL FOR COMPLIANCE,1991,NOx,0.333579,Gg (1000 tonnes)
Germany,NATIONAL TOTAL FOR COMPLIANCE,1991,NOx,0.00558361,Gg (1000 tonnes)
Germany,NATIONAL TOTAL FOR COMPLIANCE,1991,NOx,1.738,Gg (1000 tonnes)
Germany,NATIONAL TOTAL FOR COMPLIANCE,1991,NOx,0.787435,Gg (1000 tonnes)
Germany,NATIONAL TOTAL FOR COMPLIANCE,1991,NOx,0.719372,Gg (1000 tonnes)
Germany,NATIONAL TOTAL FOR COMPLIANCE,1991,NOx,40.9946,Gg (1000 tonnes)
Germany,NATIONAL TOTAL FOR COMPLIANCE,1991,NOx,1.21825,Gg (1000 tonnes)
Germany,NATIONAL TOTAL FOR COMPLIANCE,1991,NOx,7.46757,Gg (1000 tonnes)
Germany,NATIONAL TOTAL FOR COMPLIANCE,1991,NOx,508.21,Gg (1000 tonnes)
Germany,NATIONAL TOTAL FOR COMPLIANCE,1991,NOx,4.01097,Gg (1000 tonnes)
